id;dateAdded;dateUpdated;address;categories;primaryCategories;city;country;keys;latitude;longitude;name;postalCode;province;rating;username
AWE2FvX5RxPSIh2RscTK;2018-01-18T18:43:12Z;2019-05-20T23:55:47Z;5620 Calle Real;Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel;Accommodation & Food Services;Goleta;US;us/ca/goleta/5620callereal/-1127060008;3.444.178;-11.981.979;Best Western Plus South Coast Inn;93117;CA;3;tatsurok2018
AVwcj_OhkufWRAb5wi9T;2016-11-06T20:21:05Z;2019-05-20T23:31:56Z;5th And San Carlos PO Box 3574;Hotels,Lodging,Hotel;Accommodation & Food Services;Carmel by the Sea;US;us/ca/carmelbythesea/5thandsancarlospobox3574/50035798;3.655.722;-12.192.194;Best Western Carmel's Town House Lodge;93921;CA;4;STEPHEN N
AVwcj_OhkufWRAb5wi9T;2016-11-06T20:21:05Z;2019-05-20T23:31:56Z;5th And San Carlos PO Box 3574;Hotels,Lodging,Hotel;Accommodation & Food Services;Carmel by the Sea;US;us/ca/carmelbythesea/5thandsancarlospobox3574/50035798;3.655.722;-12.192.194;Best Western Carmel's Town House Lodge;93921;CA;3;15Deborah
AVwcj_OhkufWRAb5wi9T;2016-11-06T20:21:05Z;2019-05-20T23:31:56Z;5th And San Carlos PO Box 3574;Hotels,Lodging,Hotel;Accommodation & Food Services;Carmel by the Sea;US;us/ca/carmelbythesea/5thandsancarlospobox3574/50035798;3.655.722;-12.192.194;Best Western Carmel's Town House Lodge;93921;CA;5;Wilfredo M
AVwcj_OhkufWRAb5wi9T;2016-11-06T20:21:05Z;2019-05-20T23:31:56Z;5th And San Carlos PO Box 3574;Hotels,Lodging,Hotel;Accommodation & Food Services;Carmel by the Sea;US;us/ca/carmelbythesea/5thandsancarlospobox3574/50035798;3.655.722;-12.192.194;Best Western Carmel's Town House Lodge;93921;CA;2;Luc D
AVweLARAByjofQCxv5vX;2016-05-16T22:39:30Z;2019-05-20T23:28:44Z;167 W Main St;Hotels,Hotels and motels,Hotel,Restaurants;Accommodation & Food Services;Lexington;US;us/ky/lexington/167wmainst/-1165617038;38.047.014;-84.497.742;21c Museum Hotel Lexington;40507;KY;4;LKDiScenza
AVweLARAByjofQCxv5vX;2016-05-16T22:39:30Z;2019-05-20T23:28:44Z;167 W Main St;Hotels,Hotels and motels,Hotel,Restaurants;Accommodation & Food Services;Lexington;US;us/ky/lexington/167wmainst/-1165617038;38.047.014;-84.497.742;21c Museum Hotel Lexington;40507;KY;1;GGTravels2016
AV1thAoL3-Khe5l_Ott5;2017-07-23T03:35:56Z;2019-05-20T23:28:32Z;115 W Steve Wariner Dr;Hotels and motels,Hotel;Accommodation & Food Services;Russell Springs;US;us/ky/russellsprings/115wstevewarinerdr/-411694349;37.065.296;-8.507.358;Springs Motel LLC;42642;KY;1;madaramapquest
AVz6h4Sb3D1zeR_xDHsu;2017-06-30T19:43:24Z;2019-05-20T23:27:06Z;2240 Buena Vista Rd;Budget Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Hotel;Accommodation & Food Services;Lexington;US;us/ky/lexington/2240buenavistard/-659606824;380.421;-844.271;Microtel Inn Suites By Wyndham Lexington;40505;KY;5;IUMIKECOO
AVwdo6WHByjofQCxrGaj;2016-11-02T17:23:39Z;2019-05-20T23:26:47Z;1107 N Main St;Hotels,Bed Breakfasts,Bed & Breakfasts,Hotels and motels,Lodging,Hotels Motels,travel,Motels,Hotels & Motels,Hotel;Accommodation & Food Services;Hopkinsville;US;us/ky/hopkinsville/1107nmainst/-1877262391;36.889;-874.813;American Inn;42240;KY;1;johnnytuba
AVwcuo0eIN2L1WUfoPEk;2016-03-23T04:19:28Z;2019-05-20T23:26:33Z;1953 Nicholasville Rd;Hotels,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Hotel;Accommodation & Food Services;Lexington;US;us/ky/lexington/1953nicholasvillerd/861200040;3.801.243;-8.451.635;Hampton Inn Lexington Medical Center;40503;KY;5;colonialgal
AWB2mcqARxPSIh2RpdHz;2017-12-21T00:00:53Z;2019-05-20T23:10:15Z;4200 Via Real;Hotels,Lodging,Hotels Motels,Motels,Hotel;Accommodation & Food Services;Carpinteria;US;us/ca/carpinteria/4200viareal/1997906078;3.440.507;-11.953.119;Motel 6 Santa Barbara - Carpinteria North;93013;CA;3;Jonathan C
AVwdhvN2kufWRAb56xSm;2017-01-16T18:09:54Z;2019-05-20T23:08:26Z;1818 El Camino Real;Hotels,Hotels and motels,Budget Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Family-friendly Hotels,Hotel,Business Hotels;Accommodation & Food Services;Redwood City;US;us/ca/redwoodcity/1818elcaminoreal/-728412515;374.777;-1.222.249;Comfort Inn;94063;CA;5;Kristen Y
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;3;Stacy D
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;5;brand0nstark
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;2;RobertKestenbaum
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;4;donp638
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;4;B1962UTvictoriaa
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;3;kenthecelt
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;4;josenc2016
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;5;396kathyg
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;4;Alamo77
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;5;jrvcrj
AWV8VsCtRxPSIh2RyTvS;2018-08-27T17:01:16Z;2019-05-20T21:40:08Z;610 Poydras St;Building,Hotels and motels,Hotel;Accommodation & Food Services;New Orleans;US;us/la/neworleans/610poydrasst/-946012914;29.949.125;-90.069.748;The Whitney Hotel;70130;LA;4;ophiacus46
